"report date,""location"",""location type"",""data field"",""data field code"",""time period"",""time period type"",""value"",""unit"""
"2016-04-02,""Acre"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-02,""Alagoas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""52"",""cases"""
"2016-04-02,""Amapa"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-02,""Amazonas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-02,""Bahia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""194"",""cases"""
"2016-04-02,""Ceara"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""76"",""cases"""
"2016-04-02,""Distrito Federal"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-02,""Espirito Santo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-02,""Goias"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""9"",""cases"""
"2016-04-02,""Maranhao"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""66"",""cases"""
"2016-04-02,""Mato Grosso"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""14"",""cases"""
"2016-04-02,""Mato Grosso do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-02,""Minas Gerais"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-02,""Para"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-02,""Paraiba"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""103"",""cases"""
"2016-04-02,""Parana"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-02,""Pernambuco"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""303"",""cases"""
"2016-04-02,""Piaui"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""70"",""cases"""
"2016-04-02,""Rio Grande do Norte"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""83"",""cases"""
"2016-04-02,""Rio Grande do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-02,""Rio de Janeiro"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""21"",""cases"""
"2016-04-02,""Rondonia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-02,""Roraima"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-02,""Santa Catarina"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-02,""Sergipe"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""31"",""cases"""
"2016-04-02,""Sao Paulo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-02,""Tocantins"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-02,""Acre"",""state"",""microcephaly not"",""BR0003"",NA,NA,""2"",""cases"""
"2016-04-02,""Alagoas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""131"",""cases"""
"2016-04-02,""Amapa"",""state"",""microcephaly not"",""BR0003"",NA,NA,""0"",""cases"""
"2016-04-02,""Amazonas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""1"",""cases"""
"2016-04-02,""Bahia"",""state"",""microcephaly not"",""BR0003"",NA,NA,""134"",""cases"""
"2016-04-02,""Ceara"",""state"",""microcephaly not"",""BR0003"",NA,NA,""114"",""cases"""
"2016-04-02,""Distrito Federal"",""state"",""microcephaly not"",""BR0003"",NA,NA,""32"",""cases"""
"2016-04-02,""Espirito Santo"",""state"",""microcephaly not"",""BR0003"",NA,NA,""18"",""cases"""
"2016-04-02,""Goias"",""state"",""microcephaly not"",""BR0003"",NA,NA,""30"",""cases"""
"2016-04-02,""Maranhao"",""state"",""microcephaly not"",""BR0003"",NA,NA,""34"",""cases"""
"2016-04-02,""Mato Grosso"",""state"",""microcephaly not"",""BR0003"",NA,NA,""71"",""cases"""
"2016-04-02,""Mato Grosso do Sul"",""state"",""microcephaly not"",""BR0003"",NA,NA,""11"",""cases"""
"2016-04-02,""Minas Gerais"",""state"",""microcephaly not"",""BR0003"",NA,NA,""46"",""cases"""
"2016-04-02,""Para"",""state"",""microcephaly not"",""BR0003"",NA,NA,""0"",""cases"""
"2016-04-02,""Paraiba"",""state"",""microcephaly not"",""BR0003"",NA,NA,""364"",""cases"""
"2016-04-02,""Parana"",""state"",""microcephaly not"",""BR0003"",NA,NA,""25"",""cases"""
"2016-04-02,""Pernambuco"",""state"",""microcephaly not"",""BR0003"",NA,NA,""490"",""cases"""
"2016-04-02,""Piaui"",""state"",""microcephaly not"",""BR0003"",NA,NA,""49"",""cases"""
"2016-04-02,""Rio Grande do Norte"",""state"",""microcephaly not"",""BR0003"",NA,NA,""35"",""cases"""
"2016-04-02,""Rio Grande do Sul"",""state"",""microcephaly not"",""BR0003"",NA,NA,""30"",""cases"""
"2016-04-02,""Rio de Janeiro"",""state"",""microcephaly not"",""BR0003"",NA,NA,""62"",""cases"""
"2016-04-02,""Rondonia"",""state"",""microcephaly not"",""BR0003"",NA,NA,""4"",""cases"""
"2016-04-02,""Roraima"",""state"",""microcephaly not"",""BR0003"",NA,NA,""0"",""cases"""
"2016-04-02,""Santa Catarina"",""state"",""microcephaly not"",""BR0003"",NA,NA,""3"",""cases"""
"2016-04-02,""Sergipe"",""state"",""microcephaly not"",""BR0003"",NA,NA,""17"",""cases"""
"2016-04-02,""Sao Paulo"",""state"",""microcephaly not"",""BR0003"",NA,NA,""94"",""cases"""
"2016-04-02,""Tocantins"",""state"",""microcephaly not"",""BR0003"",NA,NA,""17"",""cases"""
"2016-04-02,""Acre"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""30"",""cases"""
"2016-04-02,""Alagoas"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""72"",""cases"""
"2016-04-02,""Amapa"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""2"",""cases"""
"2016-04-02,""Amazonas"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""11"",""cases"""
"2016-04-02,""Bahia"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""663"",""cases"""
"2016-04-02,""Ceara"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""247"",""cases"""
"2016-04-02,""Distrito Federal"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""1"",""cases"""
"2016-04-02,""Espirito Santo"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""91"",""cases"""
"2016-04-02,""Goias"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""82"",""cases"""
"2016-04-02,""Maranhao"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""135"",""cases"""
"2016-04-02,""Mato Grosso"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""113"",""cases"""
"2016-04-02,""Mato Grosso do Sul"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""5"",""cases"""
