"report_date,""location"",""location_type"",""data_field"",""data_field_code"",""time_period"",""time_period_type"",""value"",""unit"""
"2016-04-30,""Acre"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-04-30,""Alagoas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""59"",""cases"""
"2016-04-30,""Amapa"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-30,""Amazonas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-30,""Bahia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""232"",""cases"""
"2016-04-30,""Ceara"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""84"",""cases"""
"2016-04-30,""Distrito Federal"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""5"",""cases"""
"2016-04-30,""Espirito Santo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""8"",""cases"""
"2016-04-30,""Goias"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""12"",""cases"""
"2016-04-30,""Maranhao"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""115"",""cases"""
"2016-04-30,""Mato Grosso"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""15"",""cases"""
"2016-04-30,""Mato Grosso do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-30,""Minas Gerais"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-30,""Para"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-30,""Paraiba"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""115"",""cases"""
"2016-04-30,""Parana"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-04-30,""Pernambuco"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""339"",""cases"""
"2016-04-30,""Piaui"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""75"",""cases"""
"2016-04-30,""Rio Grande do Norte"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""96"",""cases"""
"2016-04-30,""Rio Grande do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-04-30,""Rio de Janeiro"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""44"",""cases"""
"2016-04-30,""Rondonia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-04-30,""Roraima"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-04-30,""Santa Catarina"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
