report date,location,location type,data field,data field code,time period,time period type,value,unit
2016-05-28,Norte,region,zika reported,BR0011,NA,NA,9022,cases
2016-05-28,Rondonia,state,zika reported,BR0011,NA,NA,1032,cases
2016-05-28,Acre,state,zika reported,BR0011,NA,NA,843,cases
2016-05-28,Amazonas,state,zika reported,BR0011,NA,NA,2176,cases
2016-05-28,Roraima,state,zika reported,BR0011,NA,NA,83,cases
2016-05-28,Para,state,zika reported,BR0011,NA,NA,2032,cases
2016-05-28,Amapa,state,zika reported,BR0011,NA,NA,189,cases
2016-05-28,Tocantins,state,zika reported,BR0011,NA,NA,2667,cases
2016-05-28,Nordeste,region,zika reported,BR0011,NA,NA,59745,cases
2016-05-28,Maranhao,state,zika reported,BR0011,NA,NA,2328,cases
2016-05-28,Piaui,state,zika reported,BR0011,NA,NA,217,cases
2016-05-28,Ceara,state,zika reported,BR0011,NA,NA,2144,cases
2016-05-28,Rio Grande do Norte,state,zika reported,BR0011,NA,NA,2312,cases
2016-05-28,Paraiba,state,zika reported,BR0011,NA,NA,2865,cases
2016-05-28,Pernambuco,state,zika reported,BR0011,NA,NA,393,cases
2016-05-28,Alagoas,state,zika reported,BR0011,NA,NA,3577,cases
2016-05-28,Sergipe,state,zika reported,BR0011,NA,NA,490,cases
2016-05-28,Bahia,state,zika reported,BR0011,NA,NA,45419,cases
2016-05-28,Sudeste,region,zika reported,BR0011,NA,NA,65328,cases
2016-05-28,Minas Gerais,state,zika reported,BR0011,NA,NA,12449,cases
2016-05-28,Espirito Santo,state,zika reported,BR0011,NA,NA,2150,cases
2016-05-28,Rio de Janeiro,state,zika reported,BR0011,NA,NA,46027,cases
2016-05-28,Sao Paulo,state,zika reported,BR0011,NA,NA,4702,cases
2016-05-28,Sul,region,zika reported,BR0011,NA,NA,2463,cases
2016-05-28,Parana,state,zika reported,BR0011,NA,NA,2001,cases
2016-05-28,Santa Catarina,state,zika reported,BR0011,NA,NA,99,cases
2016-05-28,Rio Grande do Sul,state,zika reported,BR0011,NA,NA,363,cases
2016-05-28,Centro-Oeste,region,zika reported,BR0011,NA,NA,24683,cases
2016-05-28,Mato Grosso do Sul,state,zika reported,BR0011,NA,NA,698,cases
2016-05-28,Mato Grosso,state,zika reported,BR0011,NA,NA,19662,cases
2016-05-28,Goias,state,zika reported,BR0011,NA,NA,3954,cases
2016-05-28,Distrito Federal,state,zika reported,BR0011,NA,NA,369,cases
2016-05-28,Brazil,country,zika reported,BR0011,NA,NA,161241,cases
