"report_date,""location"",""location_type"",""data_field"",""data_field_code"",""time_period"",""time_period_type"",""value"",""unit"""
"2016-05-14,""Acre"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""0"",""cases"""
"2016-05-14,""Alagoas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""65"",""cases"""
"2016-05-14,""Amapa"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""6"",""cases"""
"2016-05-14,""Amazonas"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-05-14,""Bahia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""243"",""cases"""
"2016-05-14,""Ceara"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""97"",""cases"""
"2016-05-14,""Distrito Federal"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""5"",""cases"""
"2016-05-14,""Espirito Santo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""11"",""cases"""
"2016-05-14,""Goias"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""14"",""cases"""
"2016-05-14,""Maranhao"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""117"",""cases"""
"2016-05-14,""Mato Grosso"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""15"",""cases"""
"2016-05-14,""Mato Grosso do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""2"",""cases"""
"2016-05-14,""Minas Gerais"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""3"",""cases"""
"2016-05-14,""Para"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-05-14,""Paraiba"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""125"",""cases"""
"2016-05-14,""Parana"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-05-14,""Pernambuco"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""354"",""cases"""
"2016-05-14,""Piaui"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""76"",""cases"""
"2016-05-14,""Rio Grande do Norte"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""106"",""cases"""
"2016-05-14,""Rio Grande do Sul"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""5"",""cases"""
"2016-05-14,""Rio de Janeiro"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""55"",""cases"""
"2016-05-14,""Rondonia"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""4"",""cases"""
"2016-05-14,""Roraima"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""8"",""cases"""
"2016-05-14,""Santa Catarina"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""1"",""cases"""
"2016-05-14,""Sergipe"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""50"",""cases"""
"2016-05-14,""Sao Paulo"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""8"",""cases"""
"2016-05-14,""Tocantins"",""state"",""microcephaly confirmed"",""BR0002"",NA,NA,""5"",""cases"""
"2016-05-14,""Acre"",""state"",""microcephaly not"",""BR0003"",NA,NA,""17"",""cases"""
"2016-05-14,""Alagoas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""149"",""cases"""
"2016-05-14,""Amapa"",""state"",""microcephaly not"",""BR0003"",NA,NA,""1"",""cases"""
"2016-05-14,""Amazonas"",""state"",""microcephaly not"",""BR0003"",NA,NA,""5"",""cases"""
"2016-05-14,""Bahia"",""state"",""microcephaly not"",""BR0003"",NA,NA,""205"",""cases"""
"2016-05-14,""Ceara"",""state"",""microcephaly not"",""BR0003"",NA,NA,""164"",""cases"""
"2016-05-14,""Distrito Federal"",""state"",""microcephaly not"",""BR0003"",NA,NA,""33"",""cases"""
"2016-05-14,""Espirito Santo"",""state"",""microcephaly not"",""BR0003"",NA,NA,""45"",""cases"""
"2016-05-14,""Goias"",""state"",""microcephaly not"",""BR0003"",NA,NA,""52"",""cases"""
"2016-05-14,""Maranhao"",""state"",""microcephaly not"",""BR0003"",NA,NA,""45"",""cases"""
"2016-05-14,""Mato Grosso"",""state"",""microcephaly not"",""BR0003"",NA,NA,""89"",""cases"""
"2016-05-14,""Mato Grosso do Sul"",""state"",""microcephaly not"",""BR0003"",NA,NA,""14"",""cases"""
"2016-05-14,""Minas Gerais"",""state"",""microcephaly not"",""BR0003"",NA,NA,""55"",""cases"""
"2016-05-14,""Para"",""state"",""microcephaly not"",""BR0003"",NA,NA,""0"",""cases"""
"2016-05-14,""Paraiba"",""state"",""microcephaly not"",""BR0003"",NA,NA,""418"",""cases"""
"2016-05-14,""Parana"",""state"",""microcephaly not"",""BR0003"",NA,NA,""27"",""cases"""
"2016-05-14,""Pernambuco"",""state"",""microcephaly not"",""BR0003"",NA,NA,""1038"",""cases"""
"2016-05-14,""Piaui"",""state"",""microcephaly not"",""BR0003"",NA,NA,""64"",""cases"""
"2016-05-14,""Rio Grande do Norte"",""state"",""microcephaly not"",""BR0003"",NA,NA,""50"",""cases"""
"2016-05-14,""Rio Grande do Sul"",""state"",""microcephaly not"",""BR0003"",NA,NA,""47"",""cases"""
"2016-05-14,""Rio de Janeiro"",""state"",""microcephaly not"",""BR0003"",NA,NA,""108"",""cases"""
"2016-05-14,""Rondonia"",""state"",""microcephaly not"",""BR0003"",NA,NA,""7"",""cases"""
"2016-05-14,""Roraima"",""state"",""microcephaly not"",""BR0003"",NA,NA,""7"",""cases"""
"2016-05-14,""Santa Catarina"",""state"",""microcephaly not"",""BR0003"",NA,NA,""4"",""cases"""
"2016-05-14,""Sergipe"",""state"",""microcephaly not"",""BR0003"",NA,NA,""39"",""cases"""
"2016-05-14,""Sao Paulo"",""state"",""microcephaly not"",""BR0003"",NA,NA,""107"",""cases"""
"2016-05-14,""Tocantins"",""state"",""microcephaly not"",""BR0003"",NA,NA,""28"",""cases"""
"2016-05-14,""Acre"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""21"",""cases"""
"2016-05-14,""Alagoas"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""75"",""cases"""
"2016-05-14,""Amapa"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""2"",""cases"""
"2016-05-14,""Amazonas"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""10"",""cases"""
"2016-05-14,""Bahia"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""650"",""cases"""
"2016-05-14,""Ceara"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""220"",""cases"""
"2016-05-14,""Distrito Federal"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""3"",""cases"""
"2016-05-14,""Espirito Santo"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""86"",""cases"""
"2016-05-14,""Goias"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""68"",""cases"""
"2016-05-14,""Maranhao"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""90"",""cases"""
"2016-05-14,""Mato Grosso"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""112"",""cases"""
"2016-05-14,""Mato Grosso do Sul"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""2"",""cases"""
"2016-05-14,""Minas Gerais"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""48"",""cases"""
"2016-05-14,""Para"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""28"",""cases"""
"2016-05-14,""Paraiba"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""338"",""cases"""
"2016-05-14,""Parana"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""6"",""cases"""
"2016-05-14,""Pernambuco"",""state"",""microcephaly under investigation"",""BR0001"",NA,NA,""555"",""cases"""
